BIRTH_YEAR	Deceased	births_pct	Births
2012	False	0.9974293059125964	3104
2012	True	0.002570694087403599	8
2013	False	0.9975845410628019	3304
2013	True	0.0024154589371980675	8
2014	False	0.9994377284228282	3555
2014	True	0.000562271577171774	2
2015	False	0.996816976127321	3758
2015	True	0.003183023872679045	12
2016	False	0.9981884057971014	3857
2016	True	0.0018115942028985507	7
2017	False	0.9981338309784058	3744
2017	True	0.0018661690215942416	7
2018	False	0.9979679959359918	3929
2018	True	0.002032004064008128	8
2019	False	0.9977122521606507	3925
2019	True	0.002287747839349263	9
2020	False	0.9991673605328892	3600
2020	True	0.0008326394671107411	3
