BIRTH_YEAR	DEPARTMENT	births_pct	Births
2012	NICU	0.06555269922879177	204
2012	WBN	0.9344473007712082	2908
2013	NICU	0.050422705314009664	167
2013	WBN	0.9495772946859904	3145
2014	NICU	0.06438009558616811	229
2014	WBN	0.9356199044138319	3328
2015	NICU	0.06737400530503979	254
2015	WBN	0.9326259946949602	3516
2016	NICU	0.05331262939958592	206
2016	WBN	0.9466873706004141	3658
2017	NICU	0.060250599840042655	226
2017	WBN	0.9397494001599573	3525
2018	NICU	0.07010414020828042	276
2018	WBN	0.9298958597917196	3661
2019	NICU	0.06990340620233859	275
2019	WBN	0.9300965937976614	3659
2020	NICU	0.07965584235359423	287
2020	WBN	0.9203441576464058	3316
